title,price,rating,oprice,brand
"Noise ColorFit Ultra Buzz Bluetooth Calling Smart Watch with 1.75"" HD Display, 320x385 px Resolution, 100 Sports Modes, Stock Market Info Smartwatch for Men & Women (Champagne Grey)  ","1,999",4.1,"₹1,999",Noise
Analogue Watch for Men and Boys  ,249,3.6,₹249,SWADESI STUFF
Venus Digital Grey Dial Men's Watch-NL7982PP01/NM7982PP01  ,499,4.1,₹499,SF
Watch: A Novel  ,939.,4.6,₹939.86,Keith Buckley
Black Dial Date Display Analogue Watch for Men and Boys  ,249,3.8,₹249,SWADESI STUFF
"Fire-Boltt Astro 1.78"" AMOLED Display Smartwatch, Always On Display, Bluetooth Calling with AI Voice, 110+ Sports Modes, Rotating Button Technology, High Resolution of 368 * 448 Pixels  ","2,999",4.1,"₹2,999",Fire-Boltt
"Gen 5E Smartwatch with AMOLED Screen, Wear OS by Google, Built-in Speaker for Phone Calls, Google Assistant, SpO2, GPS, NFC, Wellness Features and Smartphone Notifications  ","14,794",3.9,"₹14,794",Fossil
Zaha New Generation Digital Square Watch for Boys & Girls & Kids (Red)  ,139,5.0,₹139,Generic
"DIZO Watch D2 Power (by realme TechLife) – Large 1.91"" Superlight, Single Chipset Bluetooth Calling Smartwatch with Smart Swipe, 150+Stylish Watch Faces and 10 Day Battery (Steel Grey)  ","1,799",3.7,"₹1,799",DIZO
Analog White Dial Men's Watch-HB611251ABR  ,"7,440",4.1,"₹7,440",Mathey-Tissot
"Samsung Galaxy Watch4 LTE (4.4 cm, Black, Compatible with Android only)  ","18,999",4.3,"₹18,999",Samsung
"Fire-Boltt Ninja 3 1.83"" Display Smartwatch Full Touch with 100+ Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud Based Watch Faces  ","1,299",4.2,"₹1,299",Fire-Boltt
Gents Karishma Analog Brown Dial Men's Watch-NN1824KM01  ,"3,995",4.2,"₹3,995",Titan
Beyond Gold Analog Black Dial Men's Watch-NN77031KM03/NP77031KM03  ,"2,149",4.3,"₹2,149",Sonata
Super Fibre Digital Grey Dial Men's Watch-NL87011PP04/NP87011PP04  ,600,4.2,₹600,Sonata
Black dial-case and Black Leather Watch for Men Pack of - 1  ,245,3.4,₹245,Acnos
"Smart 2 Fashion Smartwatch, 1.78” AMOLED Display with Premium Metal Body, Multiple Sports Modes with 100+ Watchfaces, Complete Health Suite with Stress Monitor, 7 Days Battery Life & 3 ATM  ","5,995",3.9,"₹5,995",Titan
Digital Men's Watch (Black Colored Strap)  ,329,3.7,₹329,Scarter
Essentials Analog Silver Dial Men's Watch NM77082SL01W/NN77082SL01W  ,799,4.3,₹799,Sonata
Edifice Men's Tachymeter Chronograph EF-558SG-1AVDF (ED439)  ,"15,995",4.4,"₹15,995",Casio
Analog Boy's & Men's Watch (Blue Dial Blue Colored Strap)  ,,3.6,,REDUX
Reflex Vox Smartwatch|Alexa Built-in|Bright HD Display|Upto 10 Days Battery|5 ATM Water Resistance|Multiple Sports Modes|100+ Watchfaces|24x7 HRM|Sp02|Stress Monitor|Camera & Music Control  ,"1,994",3.9,"₹1,994",Fastrack
Analog Black Dial Men's Watch-MTP-VT01D-1BUDF (A1612)  ,"3,188",4.4,"₹3,188",Casio
"Analogue Waterproof Men's Day and Date Watch (Gold Round Dial Gold Strap,LS4010)  ",599,New to Amazon,₹599,RUSTET
"MARVIK Smart Watch D116 for Xiaomi Mi Note 10 Smart Watch LED with Activity Tracker, Heart Rate Sensor, Sleep Monitor and Basic Functionality for All Boys Girls  ",449,3.1,₹449,MARVIK
NOVA Skeleton Automatic Watch Mechanical Wrist Watch for Men Bezel Screw Design Silicone Band Self-Wind Business Watch for Men  ,"3,490",4.2,"₹3,490",ALTURA
Analog Champagne Dial Women's Watch-NL87018YM01/NP87018YM01  ,825,4.2,₹825,Sonata
Analog Dial Women's Watch  ,"2,580",4.1,"₹2,580",French Connection
"Apple Watch Series 8 [GPS + Cellular 45 mm] Smart Watch w/Graphite Stainless Steel Case & Graphite Milanese Loop. Fitness Tracker, Blood Oxygen & ECG Apps, Always- On Retina Display, Water Resistant  ","77,900",4.5,"₹77,900",Apple
Zaha New Generation Digital Square Watch for Boys & Girls & Kids (Pink)  ,110,1.5,₹110,Generic
"APCSA Original New Series 7 D20 Bluetooth Wireless Smart Watch, Fitness Band for Boys, Girls, Men, Women & Kids | Sports Watch for All Smart Phones I Heart Rate and BP Monitor ( Pink )  ",498,3.0,₹498,APCSA
Analog Gold Dial Men's Watch-43234CMGY  ,"1,349",No reviews,"₹1,349",Maxima
"Talk S with 1.78"" AMOLED Display|Advanced BT Calling|Music Storage with Wireless Audio Connect|100+ Sports Modes|Animated Watchfaces|5 Days Battery|IP68 Water Resistant|Stress & Mood Monitor  ","8,994",4.1,"₹8,994",Titan
Shhors Collection Quartz Movement Digital Black Dial Sports Alarm Unisex Watch  ,283,4.1,₹283,Primeshop
"CrossBeats Newly launched Ignite S5 Advanced AI ENC BT Calling Smartwatch, 1.96” Super AMOLED Anti-Glare Screen, Always on Display, SnapCharge™ Calculator, 500+ Watch Faces, AI Health Feature (Black)  ","4,999",4.1,"₹4,999",CrossBeats
Digital Boy's & Men's Watch (Multicolour Dial Multi Colored Strap)  ,231,3.9,₹231,ZUPERIA
